"group";"id";"rekening";"tipe";"posisi";"laporan";"status";"parent";"keterangan";"active"
"1";"1";"AKTIVA";"GROUP";"DEBET";"NERACA";;;;"yes"
"1";"1.1000";"KAS";"HEADER";"DEBET";"NERACA";NULL;"1";NULL;"yes"
"1";"1.1001";"KAS BANK - BCA SURABAYA";"DETAIL";"DEBET";"NERACA";"KAS/BANK";"1.1000";NULL;"yes"
"1";"1.1002";"KAS BANK - BCA MOJOKERTO";"DETAIL";"DEBET";"NERACA";"KAS/BANK";"1.1000";;"yes"
"1";"1.1003";"KAS BESAR - BANK";"DETAIL";"DEBET";"NERACA";"KAS/BANK";"1.1000";;"yes"
"1";"1.1004";"KAS KECIL HARIAN";"DETAIL";"DEBET";"NERACA";"KAS/BANK";"1.1000";;"yes"
"1";"1.2000";"PIUTANG";"HEADER";"DEBET";"NERACA";;"1";;"yes"
"1";"1.2001";"PIUTANG KURANG BAYAR NASABAH";"DETAIL";"DEBET";"NERACA";;"1.2000";;"yes"
"1";"1.2002";"NASABAH MACET > 12 BULAN";"DETAIL";"DEBET";"NERACA";;"1.2000";;"yes"
"1";"1.2003";"PINJAMAN BERJANGKA & ANGSURAN";"DETAIL";"DEBET";"NERACA";;"1.2000";;"yes"
"1";"1.2004";"PIUTANG KEDIRI";"DETAIL";"DEBET";"NERACA";;"1.2000";;"yes"
"1";"1.2005";"PIUTANG KPL 5";"DETAIL";"DEBET";"NERACA";;"1.2000";;"yes"
"1";"1.2006";"PIUTANG TROSOBO";"DETAIL";"DEBET";"NERACA";;"1.2000";;"yes"
"1";"1.2007";"PIUTANG DANIEL";"DETAIL";"DEBET";"NERACA";;"1.2000";;"yes"
"1";"1.2008";"PIUTANG ANDIK";"DETAIL";"DEBET";"NERACA";;"1.2000";;"yes"
"1";"1.3000";"PERSEDIAAN KANTOR";"DETAIL";"DEBET";"NERACA";NULL;"1";NULL;"yes"
"1";"1.4000";"AKUMULASI PENYUSUTAN";"DETAIL";"DEBET";"NERACA";;"1";;"yes"
"2";"2";"PASSIVA";"GROUP";"CREDIT";"NERACA";;;;"yes"
"2";"2.1000";"HUTANG PUCANG";"DETAIL";"CREDIT";"NERACA";;"2";;"yes"
"2";"2.2000";"HUTANG DANIEL";"DETAIL";"CREDIT";"NERACA";;"2";;"yes"
"2";"2.3000";"TITIPAN NASABAH";"DETAIL";"CREDIT";"NERACA";;"2";;"yes"
"2";"2.4000";"MODAL DISETOR";"DETAIL";"CREDIT";"NERACA";;"2";;"yes"
"2";"2.5000";"SHU TAHUN LALU";"DETAIL";"CREDIT";"NERACA";;"2";;"yes"
"2";"2.6000";"SHU TAHUN";"DETAIL";"CREDIT";"NERACA";;"2";;"yes"
"2";"2.7000";"PEMBAGIAN SHU TAHUN";"DETAIL";"CREDIT";"NERACA";;"2";;"yes"
"2";"2.8000";"SHU TAHUN BERJALAN";"DETAIL";"CREDIT";"NERACA";;"2";;"yes"
"2";"2.9000";"SHU BULAN BERJALAN";"DETAIL";"CREDIT";"NERACA";;"2";;"yes"
"3";"3";"PENDAPATAN";"GROUP";"CREDIT";"RUGI LABA";;;;"yes"
"3";"3.1000";"PENDAPATAN BUNGA PINJAMAN";"DETAIL";"CREDIT";"RUGI LABA";;"3";;"yes"
"4";"4";"BIAYA";"GROUP";"DEBET";"RUGI LABA";;;;"yes"
"4";"4.1000";"BIAYA KARYAWAN";"DETAIL";"DEBET";"RUGI LABA";;"4";;"yes"
"4";"4.2000";"BIAYA PERKANTORAN & UMUM";"DETAIL";"DEBET";"RUGI LABA";;"4";;"yes"
"4";"4.3000";"BIAYA KOMISI MAKELAR / FEE";"DETAIL";"DEBET";"RUGI LABA";;"4";;"yes"
"4";"4.4000";"BIAYA ADMINISTRASI BANK";"DETAIL";"DEBET";"RUGI LABA";;"4";;"yes"
"4";"4.5000";"BIAYA PENYUSUTAN";"DETAIL";"DEBET";"RUGI LABA";;"4";;"yes"
"4";"4.6000";"BIAYA IKLAN";"DETAIL";"DEBET";"RUGI LABA";;"4";;"yes"
"4";"4.7000";"POTONGAN";"DETAIL";"DEBET";"RUGI LABA";;"4";;"yes"
"5";"5";"PENDAPATAN LAIN";"GROUP";"CREDIT";"RUGI LABA";;;;"yes"
"5";"5.1000";"PENDAPATAN ADMINISTRASI PINJAMAN";"DETAIL";"CREDIT";"RUGI LABA";;"5";;"yes"
"5";"5.2000";"PENDAPATAN BUNGA BANK";"DETAIL";"CREDIT";"RUGI LABA";;"5";;"yes"
"5";"5.3000";"PENDAPATAN DENDA";"DETAIL";"CREDIT";"RUGI LABA";;"5";;"yes"
"6";"6";"BIAYA LAIN";"GROUP";"DEBET";"RUGI LABA";;;;"yes"
"6";"6.1000";"BIAYA LAIN-LAIN";"DETAIL";"DEBET";"RUGI LABA";;"6";;"yes"
