"tanggal";"periode";"id";"nomor";"transaksi";"referensi";"model";"rekening";"tipe";"posisi";"laporan";"debet";"credit";"kantor";"keterangan";"active";"ip";"status";"user";"created";"modified"
"2018-07-06 09:59:26";"2018.07";"00000060024 F/PA/";"1000000000002";;;"1.2003";"1.1001";;;;"832000";"0";"KSP123";"Pembayaran Angsuran ke 1 Kontrak No. 60024 F";"yes";"192.168.0.16";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-08-06 13:33:29";"2018.08";"00000060024 F/PA/";"1000000000003";;;"1.2003";"1.1001";;;;"832000";"0";"KSP123";"Pembayaran Angsuran ke 2 Kontrak No. 60024 F";"yes";"192.168.0.16";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-06 20:25:26";"2018.09";"00000060024 F/PA/";"1000000000004";;;"1.2003";"1.1001";;;;"832000";"0";"KSP123";"Pembayaran Angsuran ke 3 Kontrak No. 60024 F";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-05 19:07:37";"2018.10";"00000060024 F/PA/";"1000000000005";;;"1.2003";"1.1001";;;;"832000";"0";"KSP123";"Pembayaran Angsuran ke 4 Kontrak No. 60024 F";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-11-05 18:54:46";"2018.11";"00000060024 F/PA/";"1000000000006";;;"1.2003";"1.1001";;;;"832000";"0";"KSP123";"Pembayaran Angsuran ke 5 Kontrak No. 60024 F";"yes";"192.168.0.4";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-07-06 09:59:26";"2018.07";"00000060024 F/PA/";"6000000000002";;;"1.1001";"1.2003";;;;"0";"832000";"KSP123";"Pembayaran Angsuran ke 1 Kontrak No. 60024 F";"yes";"192.168.0.16";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-08-06 13:33:29";"2018.08";"00000060024 F/PA/";"6000000000003";;;"1.1001";"1.2003";;;;"0";"832000";"KSP123";"Pembayaran Angsuran ke 2 Kontrak No. 60024 F";"yes";"192.168.0.16";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-06 20:25:26";"2018.09";"00000060024 F/PA/";"6000000000004";;;"1.1001";"1.2003";;;;"0";"832000";"KSP123";"Pembayaran Angsuran ke 3 Kontrak No. 60024 F";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-05 19:07:37";"2018.10";"00000060024 F/PA/";"6000000000005";;;"1.1001";"1.2003";;;;"0";"832000";"KSP123";"Pembayaran Angsuran ke 4 Kontrak No. 60024 F";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-11-05 18:54:46";"2018.11";"00000060024 F/PA/";"6000000000006";;;"1.1001";"1.2003";;;;"0";"832000";"KSP123";"Pembayaran Angsuran ke 5 Kontrak No. 60024 F";"yes";"192.168.0.4";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-07-06 09:59:26";"2018.07";"00000060024 F/PB/";"1000000000002";;;"3.1000";"1.1001";;;;"188000";"0";"KSP123";"Pendapatan Bunga ke 1 Kontrak No. 60024 F";"yes";"192.168.0.16";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-08-06 13:33:29";"2018.08";"00000060024 F/PB/";"1000000000003";;;"3.1000";"1.1001";;;;"188000";"0";"KSP123";"Pendapatan Bunga ke 2 Kontrak No. 60024 F";"yes";"192.168.0.16";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-06 20:25:26";"2018.09";"00000060024 F/PB/";"1000000000004";;;"3.1000";"1.1001";;;;"188000";"0";"KSP123";"Pendapatan Bunga ke 3 Kontrak No. 60024 F";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-05 19:07:37";"2018.10";"00000060024 F/PB/";"1000000000005";;;"3.1000";"1.1001";;;;"188000";"0";"KSP123";"Pendapatan Bunga ke 4 Kontrak No. 60024 F";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-11-05 18:54:46";"2018.11";"00000060024 F/PB/";"1000000000006";;;"3.1000";"1.1001";;;;"188000";"0";"KSP123";"Pendapatan Bunga ke 5 Kontrak No. 60024 F";"yes";"192.168.0.4";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-07-06 09:59:26";"2018.07";"00000060024 F/PB/";"6000000000002";;;"1.1001";"3.1000";;;;"0";"188000";"KSP123";"Pendapatan Bunga ke 1 Kontrak No. 60024 F";"yes";"192.168.0.16";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
