"tanggal";"periode";"id";"nomor";"transaksi";"referensi";"model";"rekening";"debet";"credit";"kantor";"keterangan";"active";"ip";"status";"user";"created";"modified"
"2017-04-01 00:00:00";"2017.04";"KB/170401/0000";"1";;;"1.1001";"1.1001";"35650495.94";"0";"KSP123";"Saldo Awal";"yes";"192.168.0.4";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-01 00:00:00";"2017.04";"KB/170401/0000";"2";;;"1.1004";"1.1004";"10943500";"0";"KSP123";"Saldo Awal";"yes";"192.168.0.9";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-30 00:00:00";"2017.04";"KB/170430/0000";"1";;;"1.1001";"2.2000";"117520000";"0";"KSP123";"HUTANG DANIEL, ";"yes";"192.168.0.10";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-30 00:00:00";"2017.04";"KB/170430/0000";"2";;;"1.1001";"1.1004";"0";"591000";"KSP123";"ANGSURAN 20239";"yes";"192.168.0.9";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-30 00:00:00";"2017.04";"KB/170430/0000";"3";;;"1.1004";"4.2000";"0";"85000";"KSP123";"BIAYA WIFI
";"yes";"192.168.0.9";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-30 00:00:00";"2017.04";"KB/170430/0000";"4";;;"1.1004";"6.1000";"0";"200000";"KSP123";"BIAYA PROGRAMER";"yes";"192.168.0.9";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-30 00:00:00";"2017.04";"KB/170430/0000";"5";;;"1.1004";"1.1001";"0";"3338000";"KSP123";"PINJAMAN 20236";"yes";"192.168.0.9";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-30 00:00:00";"2017.04";"KB/170430/0000";"6";;;"1.1004";"1.1001";"100000";"0";"KSP123";"ANGSURAN 20037";"yes";"192.168.0.9";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-30 00:00:00";"2017.04";"KB/170430/0000";"7";;;"1.1004";"1.1001";"0";"2219000";"KSP123";"CB 20078";"yes";"192.168.0.9";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-30 00:00:00";"2017.04";"KB/170430/0000";"8";;;"1.1004";"4.2000";"0";"300000";"KSP123";"MATERAI";"yes";"192.168.0.9";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-30 00:00:00";"2017.04";"KB/170430/0000";"9";;;"1.1004";"1.1001";"591000";"0";"KSP123";"ANGSURAN 60344";"yes";"192.168.0.9";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-30 00:00:00";"2017.04";"KB/170430/0000";"10";;;"1.1004";"1.1001";"296000";"0";"KSP123";"ANGSURAN 60345";"yes";"192.168.0.9";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-30 00:00:00";"2017.04";"KB/170430/0000";"11";;;"1.1004";"1.1001";"591000";"0";"KSP123";"ANGSURAN 60322";"yes";"192.168.0.9";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-30 00:00:00";"2017.04";"KB/170430/0000";"12";;;"1.1004";"1.2004";"0";"1500000";"KSP123";"PINJAMAN ANAM";"yes";"192.168.0.9";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-30 00:00:00";"2017.04";"KB/170430/0000";"13";;;"1.1004";"1.1001";"2500000";"0";"KSP123";"KAS BANK - BCA SURABAYA, ";"yes";"192.168.0.9";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
