"tanggal";"periode";"id";"nomor";"transaksi";"referensi";"model";"rekening";"debet";"credit";"pembayaran_";"bunga_";"denda_";"titipan_";"administrasi_";"modal_";"pinjaman_";"biaya_";"kantor";"keterangan";"active";"ip";"status";"user";"created";"modified"
"2017-11-15 19:02:19";"2017.11";"00000060003/PM/";"2";;;"1.1001";"2.3000";"2400000";"0";"0";"0";"0";"2400000";"0";"0";"0";"0";"KSP123";"Titipan Masuk Kontrak No. 60003";"yes";"192.168.0.7";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-26 19:27:39";"2017.04";"00000060014 E/PA/";"6";;;"1.1001";"1.2003";"607000";"0";"607000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 5 Kontrak No. 60014 E";"yes";"192.168.0.9";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-05-24 19:03:27";"2017.05";"00000060014 E/PA/";"7";;;"1.1001";"1.2003";"607000";"0";"607000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 6 Kontrak No. 60014 E";"yes";"192.168.0.7";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-06-13 10:35:10";"2017.06";"00000060014 E/PA/";"8";;;"1.1001";"1.2003";"607000";"0";"607000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 7 Kontrak No. 60014 E";"yes";"127.0.0.1";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-07-25 19:04:35";"2017.07";"00000060014 E/PA/";"9";;;"1.1001";"1.2003";"607000";"0";"607000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 8 Kontrak No. 60014 E";"yes";"127.0.0.1";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-08-25 19:10:23";"2017.08";"00000060014 E/PA/";"10";;;"1.1001";"1.2003";"607000";"0";"607000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 9 Kontrak No. 60014 E";"yes";"127.0.0.1";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-09-25 10:23:39";"2017.09";"00000060014 E/PA/";"11";;;"1.1001";"1.2003";"607000";"0";"607000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 10 Kontrak No. 60014 E";"yes";"192.168.0.13";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-10-25 08:53:26";"2017.10";"00000060014 E/PA/";"12";;;"1.1001";"1.2003";"607000";"0";"607000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 11 Kontrak No. 60014 E";"yes";"192.168.0.7";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-11-25 11:43:24";"2017.11";"00000060014 E/PA/";"13";;;"1.1001";"1.2003";"603000";"0";"603000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 12 Kontrak No. 60014 E";"yes";"192.168.0.7";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-04-26 19:27:39";"2017.04";"00000060014 E/PB/";"6";;;"1.1001";"3.1000";"164000";"0";"0";"164000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 5 Kontrak No. 60014 E";"yes";"192.168.0.9";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2017-05-24 19:03:27";"2017.05";"00000060014 E/PB/";"7";;;"1.1001";"3.1000";"164000";"0";"0";"164000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 6 Kontrak No. 60014 E";"yes";"192.168.0.7";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
